INFO  | 2019-01-27 15:56:43 |                | Pre-order 1  | 1 x Hamburger 1.8
INFO  | 2019-01-27 15:56:43 |                | Pre-order 1  | 3 x Coca Cola 6.6
INFO  | 2019-01-27 15:56:43 |                | Pre-order 1  | 1 x McChicken 4.3
INFO  | 2019-01-27 15:56:43 |                | Pre-order 1  | 2 x French Fries 6.0
INFO  | 2019-01-27 15:56:43 |                | Pre-order 1  | 2 x McFlurry 6.0
INFO  | 2019-01-27 15:56:43 |                | Pre-order 1  | Total price: 24.7
INFO  | 2019-01-27 15:56:43 |                | Pre-order 1  | Status: packaging
INFO  | 2019-01-27 15:56:45 | Order Window 4 | Order 2      | Hello! Make your order please!
INFO  | 2019-01-27 15:56:45 |                | Pre-order 1  | 1 x Hamburger was packaged!
INFO  | 2019-01-27 15:56:46 | Order Window 3 | Order 3      | Hello! Make your order please!
INFO  | 2019-01-27 15:56:47 | Order Window 4 | Order 2      | 1 x Coca Cola 2.2
INFO  | 2019-01-27 15:56:48 | Order Window 2 | Order 4      | Hello! Make your order please!
INFO  | 2019-01-27 15:56:48 | Order Window 3 | Order 3      | 2 x Hamburger 3.6
INFO  | 2019-01-27 15:56:49 | Order Window 4 | Order 2      | 2 x McChicken 8.6
INFO  | 2019-01-27 15:56:50 | Order Window 3 | Order 3      | 2 x Coca Cola 4.4
INFO  | 2019-01-27 15:56:50 | Order Window 2 | Order 4      | 3 x Coca Cola 6.6
INFO  | 2019-01-27 15:56:50 |                | Pre-order 1  | 2 x McFlurry was packaged!
INFO  | 2019-01-27 15:56:51 | Order Window 1 | Order 5      | Hello! Make your order please!
INFO  | 2019-01-27 15:56:51 | Order Window 4 | Order 2      | 2 x French Fries 6.0
INFO  | 2019-01-27 15:56:52 | Order Window 3 | Order 3      | 1 x McFlurry 3.0
INFO  | 2019-01-27 15:56:52 | Order Window 2 | Order 4      | 2 x McChicken 8.6
INFO  | 2019-01-27 15:56:52 | Order Window 3 | Order 3      | Total price: 11.0
INFO  | 2019-01-27 15:56:52 |                | Order 3      | Status: packaging
